Distance_(pixels),Gray_Value
0,4.7778
1,4.7778
2,4.7778
3,4.3333
4,4.3333
5,5.3333
6,5.3333
7,5.3333
8,6.3333
9,6.3333
10,6.3333
11,7.2963
12,7.8148
13,8.1481
14,8.2222
15,9.9259
16,10.5556
17,12.5926
18,13.7778
19,13.9630
20,14.7778
21,16.3333
22,17.8148
23,18.2593
24,19.3333
25,20.4074
26,20.8148
27,24.3704
28,25.4444
29,26.5556
30,27.6296
31,29.2222
32,30.1111
33,31.4444
34,32.0741
35,31.7407
36,32.8889
37,33.8889
38,34.7407
39,35.0370
40,35.3704
41,35.4444
42,35.4815
43,34.6667
44,34.1852
45,34.5556
46,34.5556
47,34.5185
48,34.5926
49,35.1481
50,34.5926
51,37.8889
52,37.7407
53,37.4444
54,36.2963
55,35.0000
56,34.0370
57,34.9259
58,35.6667
59,40.9630
60,40.7037
61,40.9630
62,40.0000
63,38.8889
64,38.0000
65,38.1481
66,38.2593
67,39.4815
68,39.0000
69,38.5926
70,38.2222
71,39.1481
72,40.1111
73,41.8889
74,42.6667
75,42.4444
76,41.4444
77,40.6296
78,40.4074
79,41.7778
80,42.2222
81,42.0370
82,41.4815
83,42.1481
84,42.2593
85,42.2963
86,42.6296
87,43.2222
88,43.4444
89,43.7407
90,43.5556
91,42.8519
92,41.8889
93,41.7037
94,41.8889
95,41.2593
96,41.1481
97,41.0370
98,40.6667
99,40.5926
100,40.0741
101,39.4815
102,38.5556
103,37.5185
104,37.3333
105,37.4815
106,37.3704
107,35.3704
108,35.1852
109,35.2963
110,34.7407
111,34.2222
112,33.2593
113,32.6667
114,32.4074
115,32.4815
116,32.5185
117,32.1111
118,31.4815
119,30.9630
120,30.2963
121,29.7407
122,29.4815
123,28.8519
124,28.5926
125,27.8148
126,26.5926
127,25.8889
128,24.5926
129,23.9630
130,23.5556
131,22.0370
132,22.1111
133,22.6667
134,22.4444
135,22.1852
136,21.2963
137,21.0000
138,20.4074
139,21.9630
140,21.4074
141,20.2963
142,19.0000
143,18.4074
144,17.9259
145,17.6667
146,17.4074
147,15.3704
148,14.6296
149,14.2593
150,13.3704
151,12.7778
152,11.9630
153,11.6296
154,11.1111
155,10.7778
156,10.6667
157,9.9630
158,9.1852
159,8.9259
160,8.2593
161,7.4444
162,7.3333
163,6.8889
164,6.8889
165,6.7778
166,6.7407
167,6.7037
168,6.7037
169,6.7037
170,6.5556
171,6.5185
172,6.4444
173,6.4444
174,6.4444
