Distance_(pixels),Gray_Value
0,4.2778
1,4.2778
2,4.2778
3,5.2778
4,5.2778
5,5.2778
6,5.2778
7,5.2778
8,5.2778
9,5.2778
10,5.2778
11,5.8889
12,5.8889
13,5.8889
14,5.8889
15,5.8889
16,5.8889
17,5.8889
18,5.8889
19,6.7222
20,6.7222
21,6.7222
22,6.8889
23,6.8889
24,7.0556
25,7.0556
26,7.1667
27,9.0000
28,9.1667
29,9.1667
30,9.1667
31,10.0000
32,10.0000
33,10.0000
34,10.1667
35,11.0000
36,11.0000
37,11.5556
38,12.3889
39,12.2778
40,12.2778
41,13.2778
42,13.4444
43,15.0000
44,16.0556
45,16.7222
46,18.0556
47,19.5000
48,20.5000
49,20.6111
50,21.2222
51,19.7778
52,20.6667
53,20.7778
54,22.6111
55,24.3889
56,25.3889
57,26.7222
58,26.8889
59,29.8889
60,30.2778
61,31.0000
62,31.7778
63,32.9444
64,33.6111
65,34.6111
66,34.5556
67,34.7222
68,34.1111
69,34.2222
70,34.3889
71,34.5556
72,34.9444
73,35.2778
74,35.1111
75,36.0556
76,35.7222
77,35.5000
78,35.9444
79,36.6667
80,37.5556
81,38.5556
82,39.0000
83,41.8889
84,41.4444
85,41.3889
86,41.3333
87,41.8333
88,42.2778
89,42.3333
90,42.2778
91,43.1667
92,42.7778
93,42.7222
94,42.3889
95,42.3889
96,41.2778
97,41.2222
98,40.7778
99,41.0556
100,39.5556
101,39.3333
102,37.9444
103,37.7222
104,37.8333
105,38.3333
106,38.6111
107,37.1111
108,36.5000
109,35.1667
110,33.8333
111,32.8333
112,31.7778
113,31.3333
114,30.8889
115,31.7222
116,31.6111
117,31.2222
118,30.7778
119,30.0556
120,29.2222
121,28.1111
122,28.1111
123,25.0000
124,25.0556
125,25.1111
126,24.7778
127,24.0556
128,23.8333
129,23.7778
130,23.4444
131,23.9444
132,23.8333
133,23.8333
134,22.9444
135,22.4444
136,21.7778
137,21.7778
138,21.8889
139,21.9444
140,21.4444
141,20.0000
142,18.8333
143,18.1667
144,18.1111
145,18.2778
146,18.4444
147,17.2222
148,17.2222
149,17.6111
150,17.6111
151,17.8889
152,17.8333
153,18.5000
154,18.6667
155,21.1111
156,21.2222
157,21.2778
158,21.3889
159,21.5000
160,21.5556
161,21.3889
162,21.8333
163,18.0000
164,17.6111
165,16.9444
166,16.4444
167,16.5000
168,17.1111
169,17.7778
170,18.1111
171,18.0556
172,17.7222
173,17.6667
174,17.3333
175,16.8333
176,16.5000
177,16.5000
178,16.3333
179,16.6111
180,16.2778
181,16.0556
182,15.7222
183,15.5000
184,15.1667
185,15.2222
186,15.1111
187,13.7778
188,13.3889
189,13.0000
190,12.5556
191,12.3333
192,12.0000
193,11.9444
194,11.7778
195,11.3333
196,11.3333
197,11.0556
198,10.7222
199,10.6667
200,10.1111
201,9.7778
202,9.6111
203,8.4444
204,8.5556
205,8.5556
206,8.5556
207,8.5556
208,8.5556
209,8.5556
210,8.5556
211,7.5556
212,7.5556
213,7.3889
214,7.3889
215,6.9444
216,6.6667
217,6.7778
218,6.7778
219,5.8333
220,5.6667
221,5.6667
222,4.8333
223,4.6667
224,4.6667
225,3.8333
226,3.6667
227,4.5000
228,4.5000
229,4.5000
230,4.5000
231,4.5000
232,4.5000
233,4.5000
234,4.5000
235,2.6667
236,2.6667
237,2.6667
238,2.6667
239,2.6667
240,2.6667
241,2.6667
242,2.6667
243,2.6667
244,2.6667
